	Date	Temp High	Temp Avg	Temp Low	Dew Point High	Dew Point Avg	Dew Point Low	Humidity High	Humidity Avg	Humidity Low	Pressure High	Pressure Avg	Pressure Low	Precipitation (in.)
0	1/1/2015	41	38	35	41	38	32	100	96	73	30.38	30.25	30.14	0.72
1	1/2/2015	44	42	40	44	42	40	100	99	97	30.17	30.08	29.95	0.17
2	1/3/2015	51	45	39	44	41	38	100	93	73	30.13	30.0	29.89	1.19
3	1/4/2015	46	38	31	39	31	24	99	74	48	30.68	30.45	30.13	0.0
4	1/5/2015	50	38	26	30	25	22	84	64	36	30.7	30.59	30.43	0.0
5	1/6/2015	64	48	33	36	32	27	86	58	28	30.47	30.39	30.33	0.0
6	1/7/2015	54	42	28	43	30	12	90	62	44	30.77	30.55	30.34	0.0
7	1/8/2015	36	28	21	30	14	8	82	52	37	30.76	30.55	30.33	0.0
8	1/9/2015	35	34	33	34	31	29	97	86	76	30.55	30.47	30.36	0.05
9	1/10/2015	37	36	34	34	29	23	97	80	60	30.53	30.44	30.3	0.01
10	1/11/2015	43	38	33	42	38	33	100	98	95	30.31	30.2	30.12	1.92
11	1/12/2015	45	43	41	44	41	38	100	93	79	30.41	30.3	30.18	0.0
12	1/13/2015	41	38	36	39	36	34	97	87	79	30.46	30.4	30.36	0.0
13	1/14/2015	43	40	38	36	34	32	88	76	66	30.39	30.33	30.26	0.0
14	1/15/2015	54	44	35	36	34	29	92	71	43	30.37	30.32	30.27	0.0
15	1/16/2015	59	45	31	39	35	31	97	71	39	30.39	30.3	30.19	0.0
16	1/17/2015	65	50	36	46	40	34	94	67	46	30.23	30.13	30.03	0.0
17	1/18/2015	68	54	40	36	32	22	72	46	17	30.37	30.28	30.19	0.0
18	1/19/2015	71	53	35	54	43	31	96	69	40	30.19	30.07	29.95	0.0
19	1/20/2015	71	62	52	55	52	47	100	82	44	30.04	29.96	29.9	0.0
20	1/21/2015	60	54	47	54	50	45	100	88	69	30.17	30.09	30.05	0.06
21	1/22/2015	50	46	41	47	44	39	99	96	87	30.22	30.1	30.01	2.16
22	1/23/2015	47	42	37	40	38	34	99	88	70	30.26	30.21	30.15	0.07
23	1/24/2015	59	46	33	38	35	32	96	68	36	30.26	30.18	30.07	0.0
24	1/25/2015	68	54	41	42	34	24	81	51	25	30.2	30.08	30.0	0.0
25	1/26/2015	68	52	37	43	35	29	78	52	31	30.29	30.2	30.14	0.0
26	1/27/2015	78	62	47	46	42	38	83	53	27	30.2	30.15	30.11	0.0
27	1/28/2015	78	61	44	57	45	42	94	59	27	30.2	30.14	30.1	0.0
28	1/29/2015	73	64	53	58	52	37	98	71	44	30.39	30.24	30.14	0.0
29	1/30/2015	59	52	44	36	35	34	68	56	39	30.48	30.38	30.3	0.0
30	1/31/2015	63	52	40	58	45	34	97	77	59	30.29	30.12	29.95	0.03
31	2/1/2015	73	58	41	63	53	30	99	77	56	30.27	30.0	29.9	0.03
32	2/2/2015	45	38	30	33	25	20	80	60	42	30.43	30.35	30.28	0.0
33	2/3/2015	44	40	36	41	34	29	97	81	60	30.36	30.3	30.23	0.04
34	2/4/2015	53	47	41	52	46	40	99	95	85	30.22	30.14	30.06	0.03
